study_id,domain,category,canonical_url,source_type,source_name,source_reference
study-0255,zeromq.org,Open-source/project sites,https://zeromq.org,OPEN_SOURCE_PROJECT,ZeroMQ,Distributed Messaging Library
study-0256,100r.co,Personal/independent sites,https://100r.co,PUBLIC_DIRECTORY,Hundred Rabbits,Off-Grid Studio
study-0257,aaronsw.com,Personal/independent sites,https://aaronsw.com,PUBLIC_DIRECTORY,Aaron Swartz,Raw Thought Archive
study-0258,anildash.com,Personal/independent sites,https://anildash.com,PUBLIC_DIRECTORY,Anil Dash,Digital Culture
study-0259,berthub.eu,Personal/independent sites,https://berthub.eu,PUBLIC_DIRECTORY,Bert Hubert,PowerDNS Founder Tech Notes
study-0260,cat-v.org,Personal/independent sites,https://cat-v.org,PUBLIC_DIRECTORY,cat-v.org,Unix Philosophy
study-0261,ciechanow.ski,Personal/independent sites,https://ciechanow.ski,PUBLIC_DIRECTORY,Bartosz Ciechanowski,Interactive Tutorials
study-0262,cliki.net,Personal/independent sites,https://cliki.net,PUBLIC_DIRECTORY,CLiki,Common Lisp Wiki
study-0263,codinghorror.com,Personal/independent sites,https://codinghorror.com,PUBLIC_DIRECTORY,Coding Horror,Programming Blog
study-0264,colah.github.io,Personal/independent sites,https://colah.github.io,PUBLIC_DIRECTORY,Chris Olah,Neural Networks & Interpretability
study-0265,danwang.co,Personal/independent sites,https://danwang.co,PUBLIC_DIRECTORY,Dan Wang,Technology Essays
study-0266,distill.pub,Personal/independent sites,https://distill.pub,PUBLIC_DIRECTORY,Distill ML Journal,Clarity in Machine Learning Research
study-0267,diyaudio.com,Personal/independent sites,https://diyaudio.com,PUBLIC_DIRECTORY,diyAudio,Audio Builders
study-0268,fasterthanli.me,Personal/independent sites,https://fasterthanli.me,PUBLIC_DIRECTORY,Amos Wenger,Deep-Dive Rust & Systems
study-0269,geofex.com,Personal/independent sites,https://geofex.com,PUBLIC_DIRECTORY,GEOFEX,Audio Engineering Archive
study-0270,gregorygundersen.com,Personal/independent sites,https://gregorygundersen.com,PUBLIC_DIRECTORY,Gregory Gundersen,Machine Learning & Geometry
study-0271,gwern.net,Personal/independent sites,https://gwern.net,PUBLIC_DIRECTORY,Gwern Branwen,Empirical Research Essays
study-0272,interconnected.org,Personal/independent sites,https://interconnected.org,PUBLIC_DIRECTORY,Interconnected,Matt Webb Weblog
study-0273,joinmastodon.org,Personal/independent sites,https://joinmastodon.org,PUBLIC_DIRECTORY,Mastodon,Decentralized Social
study-0274,jwz.org,Personal/independent sites,https://jwz.org,PUBLIC_DIRECTORY,Jamie Zawinski,DNA Lounge Site
study-0275,lemmy.world,Personal/independent sites,https://lemmy.world,PUBLIC_DIRECTORY,Lemmy.world,Federated Aggregator
study-0276,lesswrong.com,Personal/independent sites,https://lesswrong.com,PUBLIC_DIRECTORY,LessWrong,Decision Theory Community
study-0277,mathoverflow.net,Personal/independent sites,https://mathoverflow.net,PUBLIC_DIRECTORY,MathOverflow,Mathematician Collaborative Research Forum
study-0278,overcomingbias.com,Personal/independent sites,https://overcomingbias.com,PUBLIC_DIRECTORY,Overcoming Bias,Rationality Blog
study-0279,pixelfed.org,Personal/independent sites,https://pixelfed.org,PUBLIC_DIRECTORY,Pixelfed,Federated Images
study-0280,prog21.dadgum.com,Personal/independent sites,https://prog21.dadgum.com,PUBLIC_DIRECTORY,Prog21,Vintage Essays
study-0281,rachelbythebay.com,Personal/independent sites,https://rachelbythebay.com,PUBLIC_DIRECTORY,Rachel by the Bay,Infrastructure Blog
study-0282,roughtype.com,Personal/independent sites,https://roughtype.com,PUBLIC_DIRECTORY,Nicholas Carr,Technology and Culture Essays
study-0283,scottaaronson.blog,Personal/independent sites,https://scottaaronson.blog,PUBLIC_DIRECTORY,Scott Aaronson,Quantum Computing & Complexity
study-0284,sdf-eu.org,Personal/independent sites,https://sdf-eu.org,PUBLIC_DIRECTORY,SDF Europe,SDF Community
study-0285,slashdot.org,Personal/independent sites,https://slashdot.org,PUBLIC_DIRECTORY,Slashdot,News for Nerds
study-0286,sta.li,Personal/independent sites,https://sta.li,PUBLIC_DIRECTORY,Stali Linux,Static Linux
study-0287,stallman.org,Personal/independent sites,https://stallman.org,PUBLIC_DIRECTORY,Richard Stallman,Plain-Text Personal Site
study-0288,steve-yegge.blogspot.com,Personal/independent sites,https://steve-yegge.blogspot.com,PUBLIC_DIRECTORY,Steve Yegge,Historic Essays
study-0289,stevepavlina.com,Personal/independent sites,https://stevepavlina.com,PUBLIC_DIRECTORY,Steve Pavlina,Philosophy Blog
study-0290,stopdesign.com,Personal/independent sites,https://stopdesign.com,PUBLIC_DIRECTORY,Douglas Bowman,Historic Web Standards Design
study-0291,stuffandnonsense.co.uk,Personal/independent sites,https://stuffandnonsense.co.uk,PUBLIC_DIRECTORY,Andy Clarke,Creative Web Design Studio
study-0292,tbray.org,Personal/independent sites,https://tbray.org,PUBLIC_DIRECTORY,Tim Bray Ongoing,Personal Site
study-0293,tedunangst.com,Personal/independent sites,https://tedunangst.com,PUBLIC_DIRECTORY,Ted Unangst,Developer Blog
study-0294,thunix.net,Personal/independent sites,https://thunix.net,PUBLIC_DIRECTORY,Thunix,Educational Shell
study-0295,toastytech.com,Personal/independent sites,https://toastytech.com,PUBLIC_DIRECTORY,ToastyTech,Historic GUI Gallery
study-0296,usemod.com,Personal/independent sites,https://usemod.com,PUBLIC_DIRECTORY,UseModWiki,Wiki Engine
study-0297,wiby.me,Personal/independent sites,https://wiby.me,PUBLIC_DIRECTORY,Wiby Search,Classic Web Search
study-0298,windowsonthetheory.org,Personal/independent sites,https://windowsonthetheory.org,PUBLIC_DIRECTORY,Windows on Theory,Theoretical Computer Science Essays
study-0299,zephoria.org,Personal/independent sites,https://zephoria.org,PUBLIC_DIRECTORY,danah boyd,Data & Society Research Weblog
study-0300,zombo.com,Personal/independent sites,https://zombo.com,PUBLIC_DIRECTORY,Zombo.com,Classic Web Parody
